sequence_name,gc_content,P2,RNA,terH,total_score
sample5800,40.2962962962963,0.02225519287833828,0.24912978617603182,0.011386138613861386,0
sample9994,35.954500494559845,0.02225519287833828,0.24690747154873824,0.011425732737208148,0
sample9808,29.394387001477106,0.02225519287833828,0.24691966485953673,0.011324470704086657,0
sample8163,60.80206985769728,0.022244191794364803,0.2009365687526607,0.009926629261976695,0
sample8336,41.97530864197531,0.022244191794364803,0.24396254312469196,0.011363636363636364,0
sample9067,41.09521460286137,0.022244191794364803,0.246669955599408,0.011346817957572768,0
sample4666,39.07252096694623,0.022233201581027668,0.2501245640259093,0.011352418558736426,0
sample8268,38.784584980237156,0.022233201581027668,0.247897080653142,0.011374876360039565,0
sample9926,36.17125984251968,0.022233201581027668,0.24655511811023623,0.011318897637795276,0
sample7420,34.68179575727677,0.022233201581027668,0.24691358024691357,0.011346817957572768,0
sample7263,34.45212240868707,0.022233201581027668,0.247897080653142,0.011352418558736426,0
sample7477,28.557312252964426,0.022233201581027668,0.24440019910403185,0.01141439205955335,0
sample5723,28.458498023715414,0.022233201581027668,0.2428430404738401,0.011374876360039565,0
sample741,48.76604146100691,0.022222222222222223,0.2471632955106068,0.011369253583786456,0
sample685,45.45903257650543,0.022222222222222223,0.2481463173504696,0.011352418558736426,0
sample565,43.75308641975309,0.022222222222222223,0.24727992087042533,0.011363636363636364,0
sample4281,39.407407407407405,0.022222222222222223,0.24826904055390703,0.011369253583786456,0
sample8164,37.51846381093058,0.022222222222222223,0.2471632955106068,0.011335633316904879,0
sample4121,32.9064039408867,0.022222222222222223,0.24826560951437066,0.011330049261083743,0
sample1718,45.70582428430405,0.022211253701875617,0.24888448190381754,0.011358024691358024,0
sample2424,41.63788850518007,0.022211253701875617,0.2470414201183432,0.011369253583786456,0
sample845,39.25233644859813,0.022211253701875617,0.2475296442687747,0.01131333005410723,0
sample6548,28.303747534516766,0.022211253701875617,0.2444663059517954,0.011391778107974244,0
sample8591,42.22658165767533,0.02220029600394672,0.24607072691552062,0.011280039234919078,0
sample827,34.38579181055747,0.02220029600394672,0.246669955599408,0.01141439205955335,0
sample2771,33.99014778325123,0.02220029600394672,0.2486325211337643,0.011330049261083743,0
sample357,32.36309817464233,0.02220029600394672,0.24532019704433497,0.011358024691358024,0
sample5678,32.34714003944773,0.02220029600394672,0.24617661568820917,0.011341222879684419,0
sample8185,28.613714849531327,0.02220029600394672,0.24691358024691357,0.011358024691358024,0
sample1366,46.89655172413793,0.022189349112426034,0.24729064039408866,0.011374876360039565,0
sample4302,41.29793510324484,0.022189349112426034,0.2483918852053439,0.011346817957572768,0
sample9065,34.12228796844182,0.022189349112426034,0.24702970297029703,0.011369253583786456,0
sample2800,32.71028037383178,0.022189349112426034,0.2457002457002457,0.011318897637795276,0
sample9095,46.14250614250614,0.022178413011335635,0.2466830466830467,0.011307767944936086,0
sample6990,41.65435745937962,0.022178413011335635,0.24727452923686818,0.011324470704086657,0
sample4515,37.2173058013766,0.022178413011335635,0.24630541871921183,0.01131333005410723,0
sample8277,32.54554406696209,0.022178413011335635,0.2470414201183432,0.011330049261083743,0
sample6493,32.134056185312964,0.022178413011335635,0.24691966485953673,0.011386138613861386,0
sample8217,52.08845208845209,0.022167487684729065,0.2469257255287752,0.011307767944936086,0
sample7301,48.39980305268341,0.022167487684729065,0.24679802955665026,0.011341222879684419,0
sample6881,40.3448275862069,0.022167487684729065,0.24741251848201085,0.011471321695760598,0
sample8804,39.687194525904204,0.022167487684729065,0.24547677261613693,0.011274509803921568,0
sample3320,38.029556650246306,0.022167487684729065,0.246669955599408,0.011341222879684419,0
sample833,36.89655172413793,0.022167487684729065,0.2455708661417323,0.011335633316904879,0
sample422,28.74015748031496,0.022167487684729065,0.2445759368836292,0.011324470704086657,0
sample4035,53.204524033930255,0.022156573116691284,0.23388235294117646,0.010838831291234684,0
sample1087,51.302211302211305,0.022156573116691284,0.24545900834560627,0.011307767944936086,0
sample5080,49.48352188883423,0.022156573116691284,0.2469257255287752,0.011341222879684419,0
sample6896,43.29446064139942,0.022156573116691284,0.2439143135345667,0.01123046875,0
sample2775,36.779911373707534,0.022156573116691284,0.246669955599408,0.011330049261083743,0
sample5431,36.65847665847666,0.022156573116691284,0.24765663542180563,0.011318897637795276,0
sample4091,36.59616330545991,0.022156573116691284,0.24801980198019802,0.01131333005410723,0
sample1130,33.98917855386129,0.022156573116691284,0.24545007378258732,0.011318897637795276,0
sample6859,32.93943870014771,0.022156573116691284,0.2466765140324963,0.011341222879684419,0
